dataset, coarsening_ratio, coarsen_features, coarsen_train_labels, coarsen_train_mask, coarsen_val_labels, coarsen_val_mask, coarsen_edge, data_x, data_y, data_edge_index, total_size, acc_10, acc_9, acc_8, acc_7, acc_6, acc_5, acc_4, acc_3, acc_2, acc_1, avg_acc, std_acc 
cora,0.0,13183600,9200,9200,9200,9200,38400,310445120,216640,1688960,325609520,0.325,0.331,0.341,0.353,0.354,0.386,0.397,0.415,0.421,0.429,0.29584,0.05148606024935293
cora,0.1,41270400,28800,28800,28800,28800,342400,310445120,216640,1688960,354078720,0.766,0.767,0.767,0.768,0.77,0.775,0.775,0.775,0.777,0.786,0.7615000000000001,0.0078006409993025645
cora,0.3,98934320,69040,69040,69040,69040,707520,310445120,216640,1688960,412268720,0.817,0.817,0.817,0.819,0.819,0.819,0.819,0.82,0.821,0.822,0.81364,0.0040336583891053155
cora,0.5,156368960,109120,109120,109120,109120,967680,310445120,216640,1688960,470123840,0.823,0.823,0.823,0.823,0.823,0.823,0.825,0.826,0.826,0.827,0.81756,0.004648268494826846
cora,0.7,214147520,149440,149440,149440,149440,1251200,310445120,216640,1688960,528347200,0.823,0.823,0.823,0.823,0.823,0.824,0.824,0.826,0.828,0.832,0.81718,0.005719055866137324
citeseer,0.0,167079360,45120,45120,45120,45120,146240,985590480,266160,1456640,1154719360,0.476,0.484,0.485,0.486,0.486,0.49,0.492,0.494,0.501,0.503,0.44984,0.027856317057357027
citeseer,0.1,229882240,62080,62080,62080,62080,315840,985590480,266160,1456640,1217759680,0.723,0.723,0.723,0.724,0.724,0.724,0.725,0.726,0.726,0.726,0.71984,0.0034488258871679827
citeseer,0.3,359042880,96960,96960,96960,96960,562560,985590480,266160,1456640,1347306560,0.713,0.713,0.714,0.715,0.715,0.715,0.715,0.715,0.715,0.716,0.70912,0.004140724574274415
citeseer,0.5,488499760,131920,131920,131920,131920,756480,985590480,266160,1456640,1477097200,0.722,0.723,0.724,0.724,0.724,0.724,0.724,0.725,0.726,0.727,0.71834,0.0047733007447677165
citeseer,0.7,621215280,167760,167760,167760,167760,974720,985590480,266160,1456640,1610174320,0.723,0.723,0.723,0.724,0.724,0.726,0.726,0.726,0.727,0.729,0.7184800000000001,0.004482142344906064
pubmed,0.0,800000,1600,1600,1600,1600,13440,788680000,1577360,14183680,805260880,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17999999999999997,2.7755575615628914e-17
pubmed,0.1,78880000,157760,157760,157760,157760,4883840,788680000,1577360,14183680,888835920,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.776,0.778,0.779,0.77228,0.0037042678088928757
pubmed,0.3,236680000,473360,473360,473360,473360,7689920,788680000,1577360,14183680,1050704400,0.78,0.781,0.781,0.781,0.781,0.782,0.783,0.783,0.783,0.784,0.77644,0.004703870746523552
pubmed,0.5,394360000,788720,788720,788720,788720,9116160,788680000,1577360,14183680,1211072080,0.797,0.798,0.798,0.798,0.798,0.8,0.8,0.8,0.8,0.801,0.7926200000000001,0.005063161067949551
pubmed,0.7,552080000,1104160,1104160,1104160,1104160,10739840,788680000,1577360,14183680,1371677520,0.798,0.798,0.799,0.799,0.8,0.8,0.8,0.801,0.802,0.803,0.79134,0.007755282070950103
dblp,0.0,9702880,5920,5920,5920,5920,22400,2322921920,1417280,16917440,2351005600,0.3413450559488468,0.3459123087462891,0.3531628225622288,0.3801096140671386,0.3855903174240694,0.3865608586435259,0.38878739438227905,0.3923841059602649,0.4283512217401233,0.43383192509705415,0.2674058004110528,0.0889853190692305
dblp,0.1,219494880,133920,133920,133920,133920,5176000,2322921920,1417280,16917440,2566463200,0.7609614067138616,0.7622744918931262,0.7634733957524549,0.7682690111897693,0.7683831925097054,0.7702100936286823,0.7742064398264444,0.7763758849052295,0.7777460607444622,0.7814569536423841,0.7401918246174927,0.022186881923354062
dblp,0.3,644061440,392960,392960,392960,392960,8757120,2322921920,1417280,16917440,2995647040,0.7563941539164193,0.7590774149349166,0.7591915962548527,0.7592486869148207,0.763815939712263,0.7644439369719114,0.765757022151176,0.7661566567709522,0.773521351906828,0.7737497145467002,0.7320723909568394,0.02443902918391777
dblp,0.5,1070725920,653280,653280,653280,653280,10254720,2322921920,1417280,16917440,3424850400,0.7365266042475451,0.73812514272665,0.7384676866864581,0.7435487554236127,0.7448047499429093,0.7472596483215346,0.7502283626398721,0.753882164877826,0.7542817994976022,0.7646722996117835,0.7143263302123773,0.025603851784889345
dblp,0.7,1496079200,912800,912800,912800,912800,12340160,2322921920,1417280,16917440,3853327200,0.7392669559260105,0.7411509477049555,0.7516556291390728,0.752055263758849,0.7525690796985613,0.753882164877826,0.7609043160538936,0.765757022151176,0.7660424754510162,0.7707810002283626,0.7175919159625486,0.02443986703014228
Physics,0.0,23562000,2800,2800,2800,2800,15040,23220687600,2759440,79347840,23326383120,0.24656134100400082,0.2604035861343924,0.3233361562947172,0.33256431971497824,0.3338492538621032,0.37152118681190316,0.44163770697660837,0.515170983850714,0.5555588003387554,0.6782116052915924,0.18042811669538295,0.13270698688654017
Physics,0.1,2322540000,276000,276000,276000,276000,23849920,23220687600,2759440,79347840,25650288800,0.8922991560318897,0.8929124200566539,0.8932336535934352,0.896884034693222,0.8984025932307332,0.8987238267675145,0.901060070671378,0.9024034109160997,0.9079227871389773,0.909674970066875,0.870822065823672,0.02130745230411772
Physics,0.3,6966273600,827840,827840,827840,827840,35721280,23220687600,2759440,79347840,30308101120,0.9313436322752096,0.9315772566655959,0.9331834243495021,0.9333002365446953,0.9333586426422918,0.9343223432526355,0.9348187950822066,0.9355488713021639,0.9366877902052975,0.938031130450019,0.9213147212568993,0.012137614926448203
Physics,0.5,11610680400,1379760,1379760,1379760,1379760,43867520,23220687600,2759440,79347840,34962861840,0.9360453231317349,0.9363081505709197,0.936454165814911,0.9369214145956838,0.9373594603276582,0.9375346786204479,0.9405425926466723,0.9406302017930672,0.9411266536226383,0.9446018164296353,0.9265811990771836,0.011391617627410006
